customer_id,first_name,last_name,email,country,city,signup_date,loyalty_member
62,Kai,Brown,user62@example.com,Ethiopia,City_55,2021-07-11,False
63,Chris,Garcia,user63@example.com,Germany,City_108,2023-11-08,False
64,Avery,Lopez,user64@example.com,Australia,City_251,2025-02-02,True
65,Avery,Smith,user65@example.com,Colombia,City_217,2020-01-08,False
66,Riley,Nguyen,user66@example.com,Vietnam,City_135,2022-06-23,False
67,Taylor,Johnson,user67@example.com,Canada,City_5,2025-04-19,True
68,Pat,Silva,user68@example.com,Canada,City_19,2023-02-05,True
69,Sam,Martinez,user69@example.com,Spain,City_66,2022-01-16,True
70,Jamie,Singh,user70@example.com,Honduras,City_108,2020-07-29,False
71,Mia,Nguyen,user71@example.com,Canada,City_209,2020-11-12,True
72,Robin,Smith,user72@example.com,Indonesia,City_91,2021-01-02,False
73,Avery,Brown,user73@example.com,Spain,City_128,2024-05-31,True
74,Dana,Garcia,user74@example.com,Costa Rica,City_20,2021-02-12,False
75,Jamie,Garcia,user75@example.com,Honduras,City_157,2020-02-18,True
76,Avery,Gonzalez,user76@example.com,Costa Rica,City_169,2020-05-22,False
77,Lee,Singh,user77@example.com,Honduras,City_261,2024-09-23,False
78,Avery,Brown,user78@example.com,United States,City_60,2023-04-04,False
79,Mia,Patel,user79@example.com,Brazil,City_56,2021-12-08,False
80,Taylor,Patel,user80@example.com,Spain,City_262,2025-01-16,True
81,Robin,Smith,user81@example.com,Guatemala,City_23,2022-11-30,True
82,Jordan,Singh,user82@example.com,Honduras,City_221,2025-02-28,False
83,Taylor,Nguyen,user83@example.com,Germany,City_161,2025-01-17,False
84,Robin,Lee,user84@example.com,Australia,City_159,2022-04-04,False
85,Morgan,Patel,user85@example.com,Canada,City_66,2023-09-23,False
86,Drew,Patel,user86@example.com,Indonesia,City_292,2023-01-27,True
87,Morgan,Patel,user87@example.com,Mexico,City_147,2024-05-28,False
88,Quinn,Singh,user88@example.com,France,City_227,2021-03-13,False
89,Drew,Chen,user89@example.com,Indonesia,City_44,2023-09-21,False
90,Drew,Garcia,user90@example.com,Colombia,City_121,2024-07-09,True
91,Sam,Garcia,user91@example.com,Vietnam,City_13,2022-08-31,True
92,Noah,Garcia,user92@example.com,France,City_213,2024-01-11,False
93,Jamie,Brown,user93@example.com,Italy,City_205,2023-09-05,True
94,Jamie,Brown,user94@example.com,Ethiopia,City_218,2024-07-04,False
95,Jamie,Lopez,user95@example.com,Brazil,City_286,2024-10-03,True
96,Quinn,Singh,user96@example.com,France,City_69,2022-12-23,False
97,Robin,Gonzalez,user97@example.com,France,City_259,2025-01-31,False
98,Quinn,Martinez,user98@example.com,Indonesia,City_244,2024-03-19,True
99,Dana,Singh,user99@example.com,Guatemala,City_267,2021-05-04,False
100,Drew,Garcia,user100@example.com,France,City_40,2021-07-10,False
101,Jordan,Brown,user101@example.com,Peru,City_277,2020-11-04,True
102,Morgan,Johnson,user102@example.com,Costa Rica,City_79,2022-04-29,False
103,Quinn,Patel,user103@example.com,Peru,City_278,2020-05-07,True
104,Noah,Nguyen,user104@example.com,Spain,City_200,2020-02-10,False
105,Pat,Martinez,user105@example.com,Italy,City_4,2024-03-23,False
106,Kai,Kim,user106@example.com,Spain,City_276,2023-05-20,True
107,Avery,Patel,user107@example.com,Italy,City_113,2022-09-21,True
108,Lee,Nguyen,user108@example.com,Costa Rica,City_173,2020-12-04,False
109,Alex,Lopez,user109@example.com,Vietnam,City_274,2022-03-17,True
110,Casey,Gonzalez,user110@example.com,Colombia,City_220,2022-08-03,True
111,Lee,Lee,user111@example.com,Brazil,City_134,2021-03-09,False
112,Lee,Martinez,user112@example.com,Peru,City_173,2024-03-20,False
113,Dana,Smith,user113@example.com,Guatemala,City_42,2024-03-14,True
114,Jordan,Kim,user114@example.com,Honduras,City_115,2025-05-14,True
115,Morgan,Gonzalez,user115@example.com,United States,City_127,2020-02-11,True
116,Dana,Singh,user116@example.com,Kenya,City_65,2020-08-22,True
117,Pat,Brown,user117@example.com,France,City_132,2023-05-25,True
118,Taylor,Silva,user118@example.com,Indonesia,City_160,2020-02-22,False
119,Lee,Nguyen,user119@example.com,UK,City_193,2021-02-10,True
120,Taylor,Nguyen,user120@example.com,UK,City_125,2024-05-01,False
121,Noah,Kim,user121@example.com,Germany,City_62,2020-03-25,False
122,Pat,Johnson,user122@example.com,Canada,City_220,2022-11-02,False
123,Dana,Johnson,user123@example.com,United States,City_216,2022-06-06,False
124,Robin,Brown,user124@example.com,France,City_79,2024-02-11,False
125,Dana,Khan,user125@example.com,Germany,City_276,2022-06-11,False
126,Jordan,Martinez,user126@example.com,Peru,City_126,2024-12-10,False
127,Noah,Silva,user127@example.com,Kenya,City_238,2023-09-30,False
128,Dana,Gonzalez,user128@example.com,Peru,City_15,2021-10-27,True
129,Pat,Kim,user129@example.com,Italy,City_109,2021-06-13,False
130,Kai,Smith,user130@example.com,Guatemala,City_142,2022-11-24,True
131,Robin,Khan,user131@example.com,Colombia,City_124,2023-02-11,True
132,Quinn,Kim,user132@example.com,Italy,City_252,2020-02-05,True
133,Lee,Nguyen,user133@example.com,Mexico,City_114,2021-05-13,False
134,Dana,Chen,user134@example.com,UK,City_189,2022-12-23,False
135,Chris,Lee,user135@example.com,Spain,City_282,2023-12-10,False
136,Avery,Garcia,user136@example.com,Guatemala,City_157,2020-09-04,True
137,Kai,Kim,user137@example.com,Peru,City_62,2023-11-14,True
138,Dana,Martinez,user138@example.com,India,City_111,2024-01-23,False
139,Drew,Garcia,user139@example.com,Ethiopia,City_100,2022-01-09,True
140,Kai,Brown,user140@example.com,Mexico,City_8,2021-07-15,True
141,Drew,Nguyen,user141@example.com,Brazil,City_284,2025-04-17,True
142,Alex,Silva,user142@example.com,Italy,City_53,2021-08-05,False
143,Chris,Brown,user143@example.com,Italy,City_226,2025-05-31,True
144,Taylor,Gonzalez,user144@example.com,Guatemala,City_245,2020-05-13,False
145,Noah,Singh,user145@example.com,Italy,City_38,2023-11-06,True
146,Noah,Martinez,user146@example.com,Vietnam,City_77,2020-06-23,True
147,Robin,Silva,user147@example.com,Ethiopia,City_286,2023-05-05,True
148,Quinn,Lopez,user148@example.com,Australia,City_195,2022-06-25,False
149,Drew,Silva,user149@example.com,UK,City_220,2023-06-25,True
150,Morgan,Singh,user150@example.com,Germany,City_51,2021-03-08,False
151,Jamie,Brown,user151@example.com,Colombia,City_81,2023-02-04,True
152,Robin,Khan,user152@example.com,Indonesia,City_2,2023-11-12,False
153,Jamie,Martinez,user153@example.com,Mexico,City_17,2023-12-18,False
154,Jamie,Lopez,user154@example.com,France,City_37,2021-06-25,True
155,Kai,Garcia,user155@example.com,Spain,City_59,2023-08-19,True
156,Jordan,Smith,user156@example.com,Guatemala,City_73,2020-12-05,False
157,Drew,Khan,user157@example.com,Germany,City_292,2020-09-11,False
158,Avery,Chen,user158@example.com,Mexico,City_207,2023-01-10,False
159,Mia,Smith,user159@example.com,France,City_42,2024-12-26,False
160,Alex,Johnson,user160@example.com,Peru,City_129,2021-04-13,True
161,Sam,Kim,user161@example.com,Guatemala,City_296,2024-03-28,True
162,Quinn,Lopez,user162@example.com,Italy,City_266,2021-07-23,True
163,Dana,Johnson,user163@example.com,UK,City_224,2022-08-20,False
164,Chris,Singh,user164@example.com,Spain,City_171,2020-08-02,True
165,Dana,Martinez,user165@example.com,Peru,City_211,2023-09-18,False
166,Quinn,Johnson,user166@example.com,Canada,City_19,2021-10-06,False
167,Lee,Gonzalez,user167@example.com,Peru,City_60,2022-11-19,True
168,Robin,Smith,user168@example.com,Canada,City_237,2021-01-19,False
169,Quinn,Kim,user169@example.com,Germany,City_256,2020-04-15,True
170,Casey,Lopez,user170@example.com,Guatemala,City_282,2021-08-12,False
171,Alex,Singh,user171@example.com,Italy,City_63,2023-05-31,True
172,Kai,Smith,user172@example.com,Indonesia,City_160,2023-02-05,False
173,Taylor,Khan,user173@example.com,Colombia,City_116,2025-04-23,True
174,Drew,Chen,user174@example.com,Vietnam,City_256,2023-12-15,False
175,Dana,Garcia,user175@example.com,Spain,City_248,2022-07-24,True
176,Mia,Chen,user176@example.com,Costa Rica,City_98,2024-03-08,True
177,Robin,Lee,user177@example.com,Colombia,City_142,2025-03-28,False
178,Drew,Gonzalez,user178@example.com,United States,City_145,2023-04-17,False
179,Kai,Khan,user179@example.com,Vietnam,City_229,2021-12-07,False
180,Lee,Khan,user180@example.com,Canada,City_279,2025-03-25,False
181,Noah,Patel,user181@example.com,India,City_123,2021-04-23,False
182,Dana,Nguyen,user182@example.com,Brazil,City_163,2025-02-13,False
183,Dana,Smith,user183@example.com,Costa Rica,City_78,2020-09-15,False
184,Taylor,Chen,user184@example.com,Ethiopia,City_226,2025-02-07,False
185,Robin,Gonzalez,user185@example.com,United States,City_74,2023-09-02,True
186,Avery,Lee,user186@example.com,Colombia,City_241,2023-06-30,False
187,Kai,Patel,user187@example.com,Colombia,City_169,2025-05-08,False
188,Sam,Silva,user188@example.com,Italy,City_278,2020-05-20,True
189,Jordan,Patel,user189@example.com,Mexico,City_117,2020-07-20,True
190,Drew,Lopez,user190@example.com,France,City_86,2020-02-29,True
191,Drew,Lee,user191@example.com,Peru,City_29,2022-02-06,False
192,Devin,Patel,user192@example.com,Vietnam,City_126,2023-03-05,True
193,Jordan,Silva,user193@example.com,Indonesia,City_90,2024-11-18,False
194,Dana,Lopez,user194@example.com,Germany,City_124,2023-04-09,True
195,Avery,Khan,user195@example.com,Kenya,City_237,2021-06-06,True
196,Kai,Brown,user196@example.com,France,City_148,2020-05-31,False
197,Robin,Nguyen,user197@example.com,Honduras,City_154,2021-05-27,False
198,Lee,Gonzalez,user198@example.com,Mexico,City_102,2022-09-16,True
199,Noah,Lee,user199@example.com,Kenya,City_196,2023-03-23,False
200,Lee,Martinez,user200@example.com,Mexico,City_12,2020-01-17,True
